AT2G38580;
AT2G38560;
AT2G38770;
AT2G38730;
AT2G38700;
AT2G38530;
AT2G38750;
AT2G38760;
AT2G38610;
AT2G38540;
AT2G38650;
AT2G41330;
AT2G41250;
AT2G41220;
AT2G41420;
AT2G41350;
AT2G41310;
AT2G14680;
AT2G31580///AT2G32320;
AT2G32280;
AT2G32260;
AT2G32250;
AT2G32430;
AT2G32410;
AT2G32380;
AT2G32400;
AT2G01510;
AT2G01540;
AT2G01580;
AT2G01470;
AT2G01490;
AT2G01610;
AT2G01590;
AT2G01530;
AT2G01420;
AT2G27060;
AT2G26970;
AT2G26990;
AT2G27130;
AT2G26980;
AT2G27040;
AT2G27100;
AT2G27030;
AT2G46720///AT3G10280;
AT2G46640;
AT2G46660;
AT2G46700;
AT2G46710;
AT2G29330;
AT2G29310;
AT2G29300;
AT2G29290;
AT2G29210;
AT2G29190;
AT2G29180;
AT2G29140///AT2G29200;
AT2G29490;
AT2G29360;
AT2G29500;
AT2G29550;
AT2G29420;
AT2G29570;
AT2G29450;
AT2G29340;
AT2G29460;
AT2G29540;
AT2G29400;
AT2G29530;
AT2G27840;
AT2G27820;
AT2G27580;
AT2G27590;
AT2G27775;
AT2G27680;
AT2G27760;
AT2G27550;
AT2G06850;
AT2G28760;
AT2G28790;
AT2G28800;
AT2G28740;
AT2G28870;
AT2G28910;
AT2G28840;
AT2G28830;
AT2G02470;
AT2G02370;
AT2G38970;
AT2G39020;
AT2G39080;
AT2G39080;
AT2G39090;
AT2G39100;
AT2G39120;
AT2G38860;
AT2G38870;
AT2G39050;
AT2G38880;
AT2G39010;
AT2G12290///AT4G19700;
AT1G64950///AT2G12190;
AT2G28110;
AT2G28070;
AT2G28130;
AT2G28080;
AT2G28120;
AT2G02080;
AT2G02180;
AT2G02130;
AT2G02070;
AT2G02160;
AT2G02090;
AT2G45180;
AT2G45050;
AT1G45332///AT2G45030;
AT2G44980;
AT2G45160;
AT2G45100;
AT2G45150;
AT2G45170;
AT2G37890;
AT2G37860;
AT2G37790;
AT2G38010;
AT2G37920;
AT2G37990;
AT2G37970;
AT2G37870;
AT2G40700;
AT2G40780;
AT2G40760;
AT2G40640;
AT2G40650;
AT2G40660;
AT2G18780;
AT2G18770;
AT2G18740;
AT2G18670///AT2G18680;
AT2G18690;
AT2G18710;
AT2G18750;
AT2G05910;
AT2G05920;
AT2G06000;
AT2G05830;
AT2G05940;
AT2G07734;
AT2G07699///AT2G07741;
AT2G24190;
AT2G24280;
AT2G24170;
AT2G24270;
AT2G37340;
AT2G37478///AT2G37480;
AT2G37478///AT2G37480;
AT2G37300;
AT2G37240;
AT2G37470;
AT2G37400;
AT2G37270///AT3G11940;
AT2G37510;
AT2G37500;
AT2G37220;
AT2G37450;
AT2G37410;
AT2G18510;
AT2G18520;
AT2G19580;
AT2G19600;
AT2G19620;
AT2G19650;
AT2G19480;
AT2G19490///AT3G32920;
AT2G19470;
AT2G19570;
AT2G19640;
AT2G19520///AT4G29730;
AT2G19540;
AT2G19590;
AT2G15090;
AT2G15050;
AT2G15000;
AT2G25690;
AT1G20140///AT2G25700;
AT2G25730;
AT2G25580;
AT2G25590;
AT2G25650;
AT4G00270;
AT2G25720;
AT2G25610;
AT2G25670;
AT2G25565///AT2G25570;
AT2G25610///AT2G25620;
AT2G01720;
AT2G01740;
AT2G01620;
AT2G01760;
AT2G01670;
AT2G01630;
AT2G01640;
AT2G42290;
AT2G42450;
AT2G42310;
AT2G42320;
AT2G42430;
AT2G42500///AT3G58500;
AT2G42400;
AT2G14520;
AT2G14460;
AT2G14530;
AT2G35690;
AT2G35610;
AT2G35750;
AT2G35736;
AT2G35650;
AT2G35795;
AT2G35780;
AT2G35790;
AT2G35680;
AT2G35630;
AT2G18030;
AT2G17990;
AT2G18090;
AT2G17930;
AT2G17975;
AT2G18050;
AT2G18040;
AT2G17972;
AT2G48060;
AT2G48020;
AT2G48100;
AT2G48070;
AT2G07340;
AT2G07340;
AT2G01210;
AT2G01170;
AT2G01220;
AT2G01130;
AT2G01260;
AT2G01250;
AT2G01180;
AT2G01150;
AT2G01320;
AT2G01290;
AT2G13100;
AT2G03550;
AT2G03430;
AT2G03420;
AT2G03390;
AT2G03390;
AT2G03330///AT3G11810;
AT2G03350;
AT2G03510;
AT2G40110;
AT2G40100;
AT2G32100;
AT2G32010;
AT2G32000;
AT2G32220;
AT2G32170;
AT2G32020;
AT2G32040;
AT2G32190///AT2G32210;
AT2G32060;
AT2G31980;
AT2G32120;
AT2G32070;
AT2G31970;
AT2G32150;
AT2G24330;
AT2G24440;
AT2G24490;
AT2G24360;
AT2G24500;
AT2G24420;
AT2G27470;
AT2G27340;
AT2G27450;
AT2G27360;
AT2G27500;
AT2G27510;
